Season,Game_Number,Date,Time_of_year,Day,effective_day,O_Team,Time_Type2,Month,Weekend,School,start_of_homestand,end_of_homestand,Opening_Day,Holiday,Fourth_of_july,Final_Game,BobbleHead,replica,Day_In_Homestand,star_wars,concert,christian_concert,playoff_odds,delete,afternoon_weekday,afternoon_weekend,Week,weighted_odds,first_homestand,Time_Type
2018,1,3/29/2018,Opening Day,THU,THU,Philadelphia Phillies,2,Apr,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,13,3,1,2
2018,2,3/30/2018,Opening Homestand,FRI,FRI,Philadelphia Phillies,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,13,8,1,3
2018,3,3/31/2018,Opening Saturday,SAT,SAT,Philadelphia Phillies,3,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,13,9,1,3
2018,4,4/2/2018,Opening Homestand,MON,MON,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,14,12,1,5
2018,5,4/3/2018,Opening Homestand,TUE,TUE,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,14,15,1,5
2018,6,4/4/2018,Opening Homestand,WED,WED,Washington Nationals,1,Apr,0,1,0,1,0,0,0,0,0,0,6,0,0,0,4,0,1,0,14,24,1,4
2018,7,4/16/2018,April,MON,MON,Philadelphia Phillies,3,Apr,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,16,42,0,5
2018,8,4/17/2018,April,TUE,TUE,Philadelphia Phillies,3,Apr,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,16,56,0,5
2018,9,4/18/2018,April,WED,WED,Philadelphia Phillies,3,Apr,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,16,54,0,5
2018,10,4/19/2018,April,THU,THU,New York Mets,3,Apr,0,1,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,16,80,0,5
2018,11,4/20/2018,April,FRI,FRI,New York Mets,3,Apr,1,1,0,0,0,0,0,0,1,0,5,0,0,0,9,0,0,0,16,99,0,3
2018,12,4/21/2018,April,SAT,SAT,New York Mets,3,Apr,1,1,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,16,96,0,3
2018,13,4/22/2018,April,SUN,SUN,New York Mets,1,Apr,1,1,0,1,0,0,0,0,1,0,7,0,0,0,9,1,0,1,16,117,0,1
2018,14,5/4/2018,May School,FRI,FRI,San Francisco Giants,3,May,1,1,1,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,18,308,0,3
2018,15,5/5/2018,May School,SAT,SAT,San Francisco Giants,3,May,1,1,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,18,270,0,3
2018,16,5/6/2018,May School,SUN,SUN,San Francisco Giants,1,May,1,1,0,1,0,0,0,0,0,0,3,0,0,0,15,0,0,1,18,240,0,1
2018,17,5/15/2018,May School,TUE,TUE,Chicago Cubs,3,May,0,1,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,20,425,0,5
2018,18,5/16/2018,May School,WED,WED,Chicago Cubs,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,20,414,0,5
2018,19,5/17/2018,May School,THU,THU,Chicago Cubs,1,May,0,1,0,0,0,0,0,0,0,0,3,0,0,0,25,1,1,0,20,475,0,4
2018,20,5/18/2018,May School,FRI,FRI,Miami Marlins,3,May,1,1,0,0,0,0,0,0,0,0,4,0,0,0,28,0,0,0,20,560,0,3
2018,21,5/19/2018,May School,SAT,SAT,Miami Marlins,3,May,1,1,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0,0,20,525,0,3
2018,22,5/20/2018,May School,SUN,SUN,Miami Marlins,1,May,1,1,0,1,0,0,0,0,0,0,6,0,0,0,27,0,0,1,20,594,0,1
2018,23,5/28/2018,May No School,MON,SUN,New York Mets,1,May,0,1,1,0,0,1,0,0,0,0,1,0,1,0,25,0,1,0,22,575,0,4
2018,24,5/29/2018,May No School,TUE,TUE,New York Mets,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,22,600,0,5
2018,25,5/30/2018,May No School,WED,WED,New York Mets,3,May,0,1,0,0,0,0,0,0,0,0,3,0,0,0,28,0,0,0,22,700,0,5
2018,26,5/31/2018,May No School,THU,THU,Washington Nationals,3,May,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23,0,0,0,22,598,0,5
2018,27,6/1/2018,June 1st Half,FRI,FRI,Washington Nationals,3,Jun,1,0,0,0,0,0,0,0,0,0,5,0,0,0,26,0,0,0,22,702,0,3
2018,28,6/2/2018,June 1st Half,SAT,SAT,Washington Nationals,2,Jun,1,0,0,0,0,0,0,0,0,0,6,0,0,0,32,0,0,1,22,896,0,2
2018,29,6/3/2018,June 1st Half,SUN,SUN,Washington Nationals,1,Jun,1,0,0,1,0,0,0,0,0,0,7,0,0,0,30,0,0,1,22,870,0,1
2018,30,6/12/2018,June 1st Half,TUE,TUE,New York Mets,3,Jun,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,24,840,0,5
2018,31,6/13/2018,June 1st Half,WED,WED,New York Mets,1,Jun,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,1,0,24,992,0,4
2018,32,6/14/2018,June 1st Half,THU,THU,San Diego Padres,3,Jun,0,0,0,0,0,0,0,0,0,0,3,0,0,0,36,0,0,0,24,1152,0,5
2018,33,6/15/2018,June 1st Half,FRI,FRI,San Diego Padres,3,Jun,1,0,0,0,0,0,0,0,1,0,4,0,0,0,40,0,0,0,24,1320,0,3
