Season,Game_Number,Date,Time_of_year,Day,effective_day,O_Team,Time_Type2,Month,Weekend,School,start_of_homestand,end_of_homestand,Opening_Day,Holiday,Fourth_of_july,Final_Game,BobbleHead,replica,Day_In_Homestand,star_wars,concert,christian_concert,playoff_odds,delete,afternoon_weekday,afternoon_weekend,Week,weighted_odds,first_homestand,Time_Type
2019,1,4/1/2019,Opening Day,MON,MON,Chicago Cubs,3,Apr,0,1,1,0,1,0,0,0,0,0,1,0,0,0,26,0,0,0,14,26,1,5
2019,2,4/3/2019,Opening Homestand,WED,WED,Chicago Cubs,3,Apr,0,1,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,14,62,1,5
2019,3,4/4/2019,Opening Homestand,THU,THU,Chicago Cubs,3,Apr,0,1,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,14,102,1,5
2019,4,4/5/2019,Opening Homestand,FRI,FRI,Miami Marlins,3,Apr,1,1,0,0,0,0,0,0,0,0,4,0,0,0,37,0,0,0,14,148,1,3
2019,5,4/6/2019,Opening Saturday,SAT,SAT,Miami Marlins,3,Apr,1,1,0,0,0,0,0,0,0,0,5,0,0,0,34,0,0,0,14,170,1,3
2019,6,4/7/2019,Opening Homestand,SUN,SUN,Miami Marlins,1,Apr,1,1,0,1,0,0,0,0,0,0,6,0,0,0,35,0,0,1,14,210,1,1
2019,7,4/11/2019,April,THU,THU,New York Mets,3,Apr,0,1,1,0,0,0,0,0,0,0,1,0,0,0,39,0,0,0,15,273,0,5
2019,8,4/12/2019,April,FRI,FRI,New York Mets,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,35,0,0,0,15,280,0,3
2019,9,4/13/2019,April,SAT,SAT,New York Mets,3,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,37,0,0,0,15,333,0,3
2019,10,4/14/2019,April,SUN,SUN,New York Mets,3,Apr,1,1,0,0,0,0,0,0,0,0,4,0,0,0,43,0,0,0,15,430,0,5
2019,11,4/16/2019,April,TUE,TUE,Arizona Diamondbacks,3,Apr,0,1,0,0,0,0,0,0,0,0,5,0,0,0,42,0,0,0,16,462,0,5
