Season,Game_Number,Date,Time_of_year,Day,effective_day,O_Team,Time_Type2,Month,Weekend,School,start_of_homestand,end_of_homestand,Opening_Day,Holiday,Fourth_of_july,Final_Game,BobbleHead,replica,Day_In_Homestand,star_wars,concert,christian_concert,playoff_odds,delete,afternoon_weekday,afternoon_weekend,Week,weighted_odds,first_homestand,Time_Type
2022,1,4/7/2022,Opening Day,THU,THU,Cincinnati Reds,3,Apr,0,1,1,0,1,0,0,0,0,0,1,0,0,0,86,0,0,0,15,35,1,5
2022,2,4/8/2022,Opening Homestand,FRI,FRI,Cincinnati Reds,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,85,0,0,0,15,70,1,3
2022,3,4/9/2022,Opening Saturday,SAT,SAT,Cincinnati Reds,3,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,89,0,0,0,15,105,1,3
2022,4,4/10/2022,Opening Homestand,SUN,SUN,Cincinnati Reds,1,Apr,1,1,0,0,0,0,0,0,0,0,4,0,0,0,89,0,0,1,16,140,1,1
2022,5,4/11/2022,Opening Homestand,MON,MON,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,0,1,5,0,0,0,86,0,0,0,16,175,1,5
2022,6,4/12/2022,Opening Homestand,TUE,TUE,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,1,0,6,0,0,0,88,0,0,0,16,210,1,5
2022,7,4/13/2022,Opening Homestand,WED,WED,Washington Nationals,1,Apr,0,1,0,1,0,0,0,0,0,0,7,0,0,0,86,0,1,0,16,245,1,4
2022,8,4/22/2022,April,FRI,FRI,Miami Marlins,3,Apr,1,1,1,0,0,0,0,0,1,0,1,0,0,0,83,0,0,0,17,280,0,3
2022,9,4/23/2022,April,SAT,SAT,Miami Marlins,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,78,0,0,0,17,315,0,3
2022,10,4/24/2022,April,SUN,SUN,Miami Marlins,1,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,78,0,0,1,18,350,0,1
2022,11,4/26/2022,April,TUE,TUE,Chicago Cubs,3,Apr,0,1,0,0,0,0,0,0,1,0,1,0,0,0,78,0,0,0,18,385,0,5
2022,12,4/27/2022,April,WED,WED,Chicago Cubs,3,Apr,0,1,0,0,0,0,0,0,0,0,2,0,0,0,72,0,0,0,18,420,0,5
2022,13,4/28/2022,April,THU,THU,Chicago Cubs,3,Apr,0,1,0,1,0,0,0,0,0,0,3,0,0,0,75,0,0,0,18,455,0,5
2022,14,5/6/2022,May School,FRI,FRI,Milwaukee Brewers,3,May,1,1,1,0,0,0,0,0,1,0,1,0,0,0,69,0,0,0,19,490,0,3
2022,15,5/7/2022,May School,SAT,SAT,Milwaukee Brewers,3,May,1,1,0,0,0,0,0,0,0,0,2,0,0,0,71,0,0,0,19,525,0,3
2022,16,5/8/2022,May School,SUN,SUN,Milwaukee Brewers,1,May,1,1,0,0,0,0,0,0,0,0,3,0,0,0,73,0,0,1,20,560,0,1
2022,17,5/10/2022,May School,TUE,TUE,Boston Red Sox,3,May,0,1,0,0,0,0,0,0,1,0,1,0,0,0,70,0,0,0,20,595,0,5
2022,18,5/11/2022,May School,WED,WED,Boston Red Sox,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,71,0,0,0,20,630,0,5
2022,19,5/13/2022,May School,FRI,FRI,San Diego Padres,3,May,1,1,0,0,0,0,0,0,1,0,1,1,0,0,71,0,0,0,20,665,0,3
2022,20,5/14/2022,May School,SAT,SAT,San Diego Padres,3,May,1,1,0,0,0,0,0,0,0,0,2,0,0,0,70,0,0,0,20,700,0,3
2022,21,5/15/2022,May School,SUN,SUN,San Diego Padres,1,May,1,1,0,1,0,0,0,0,0,0,3,0,0,0,67,0,0,1,21,735,0,1
2022,22,5/23/2022,May School,MON,MON,Philadelphia Phillies,3,May,0,1,1,0,0,0,0,0,0,1,1,0,0,0,65,0,0,0,22,770,0,5
2022,23,5/24/2022,May School,TUE,TUE,Philadelphia Phillies,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,68,0,0,0,22,805,0,5
2022,24,5/25/2022,May School,WED,WED,Philadelphia Phillies,3,May,0,1,0,0,0,0,0,0,0,0,3,0,0,0,71,0,0,0,22,840,0,5
2022,25,5/26/2022,May No School,THU,THU,Philadelphia Phillies,3,May,0,0,0,0,0,0,0,0,0,0,4,0,0,0,68,0,0,0,22,875,0,5
2022,26,5/27/2022,May No School,FRI,FRI,Miami Marlins,3,May,1,0,0,0,0,0,0,0,0,0,5,0,0,0,69,0,0,0,22,910,0,3
2022,27,5/28/2022,May No School,SAT,SAT,Miami Marlins,2,May,1,0,0,0,0,0,0,0,0,0,6,0,0,0,65,0,0,0,22,945,0,2
2022,28,5/29/2022,May No School,SUN,SAT,Miami Marlins,1,May,1,0,0,1,0,0,0,0,0,0,7,0,0,0,70,0,0,1,23,980,0,1
2022,29,6/7/2022,June 1st Half,TUE,TUE,Oakland Athletics,3,Jun,0,0,1,0,0,0,0,0,0,0,1,0,0,0,75,0,0,0,24,1015,0,5
2022,30,6/8/2022,June 1st Half,WED,WED,Oakland Athletics,3,Jun,0,0,0,0,0,0,0,0,0,1,2,0,0,0,77,0,0,0,24,1050,0,5
2022,31,6/9/2022,June 1st Half,THU,THU,Pittsburgh Pirates,3,Jun,0,0,0,0,0,0,0,0,0,0,3,0,0,0,79,0,0,0,24,1085,0,5
2022,32,6/10/2022,June 1st Half,FRI,FRI,Pittsburgh Pirates,3,Jun,1,0,0,0,0,0,0,0,0,0,4,0,0,0,80,0,0,0,24,1120,0,3
2022,33,6/11/2022,June 1st Half,SAT,SAT,Pittsburgh Pirates,2,Jun,1,0,0,0,0,0,0,0,0,0,5,0,0,0,82,0,0,0,24,1155,0,2
2022,34,6/12/2022,June 1st Half,SUN,SUN,Pittsburgh Pirates,1,Jun,1,0,0,1,0,0,0,0,0,0,6,0,0,0,84,0,0,1,25,1190,0,1
2022,35,6/20/2022,June 2nd Half,MON,MON,San Francisco Giants,3,Jun,0,0,1,0,0,0,0,0,1,0,1,0,0,0,85,0,0,0,26,1225,0,5
2022,36,6/21/2022,June 2nd Half,TUE,TUE,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,2,0,0,0,84,0,0,0,26,1260,0,5
2022,37,6/22/2022,June 2nd Half,WED,WED,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,3,0,0,0,86,0,0,0,26,1295,0,5
2022,38,6/23/2022,June 2nd Half,THU,THU,San Francisco Giants,1,Jun,0,0,0,0,0,0,0,0,0,0,4,0,0,0,88,0,1,0,26,1330,0,4
2022,39,6/24/2022,June 2nd Half,FRI,FRI,Los Angeles Dodgers,3,Jun,1,0,0,0,0,0,0,0,0,0,5,0,0,0,88,0,0,0,26,1365,0,3
2022,40,6/25/2022,June 2nd Half,SAT,SAT,Los Angeles Dodgers,3,Jun,1,0,0,0,0,0,0,0,0,0,6,0,0,0,90,0,0,0,26,1400,0,2
2022,41,6/26/2022,June 2nd Half,SUN,SUN,Los Angeles Dodgers,3,Jun,1,0,0,1,0,0,0,0,0,0,7,0,0,0,89,0,0,1,27,1435,0,5
2022,42,7/4/2022,July 4th,MON,SUN,St. Louis Cardinals,3,Jul,0,0,1,0,0,0,1,0,0,0,1,0,0,0,95,0,0,0,28,1470,0,3
2022,43,7/5/2022,July 4th Week,TUE,TUE,St. Louis Cardinals,3,Jul,0,0,0,0,0,0,0,0,0,0,2,0,0,0,96,0,0,0,28,1505,0,5
